user_id,variation
4681,control
9052,treatment
9579,treatment
2601,treatment
7136,control
1137,treatment
4490,treatment
926,treatment
4476,treatment
928,control
5100,treatment
8895,control
8607,treatment
4542,treatment
7192,control
6991,control
3427,control
1412,treatment
804,control
2703,control
4975,treatment
2862,control
4881,control
7643,treatment
7524,treatment
6189,control
8878,treatment
4371,control
2377,control
5224,control
4122,treatment
5060,control
9881,treatment
8469,control
5180,treatment
9057,treatment
5768,control
2155,treatment
8584,treatment
881,treatment
6300,treatment
5305,control
3398,treatment
9119,control
8397,treatment
3816,treatment
5736,treatment
9170,control
7400,control
4142,treatment
1521,control
6155,treatment
4087,treatment
8744,control
7900,control
1205,treatment
750,control
2766,treatment
2190,treatment
9130,treatment
6470,treatment
5243,control
6883,control
9161,treatment
6819,control
3989,control
1849,control
6952,control
313,treatment
4000,control
2346,treatment
883,control
9848,treatment
7157,control
3948,treatment
8130,control
3226,treatment
5328,treatment
8732,treatment
7970,control
7626,control
6193,treatment
6946,control
4753,control
7068,control
8445,control
3997,treatment
6389,treatment
8017,control
2765,control
9109,treatment
8203,control
2474,control
9210,control
2177,treatment
4565,control
8305,control
8406,treatment
8191,control
6802,treatment
5927,treatment
2012,treatment
59,control
8264,control
735,control
5146,control
3976,treatment
7632,treatment
8373,treatment
8813,control
3071,control
8569,control
9166,treatment
7844,treatment
493,treatment
2905,treatment
8291,treatment
3817,control
520,treatment
3319,control
845,control
4776,treatment
8884,treatment
5992,control
5805,control
83,treatment
5317,control
3423,treatment
8566,treatment
5316,treatment
1890,control
9429,control
9570,control
1259,treatment
9023,treatment
5948,treatment
6367,control
2580,treatment
4807,control
1191,treatment
6484,treatment
185,control
7659,treatment
1084,control
7299,control
148,treatment
8084,control
9019,treatment
8619,treatment
2925,control
1355,control
7829,treatment
198,control
3111,control
2489,control
5729,treatment
4338,treatment
7397,control
4377,control
6427,treatment
1236,treatment
5819,treatment
4137,control
6566,control
1162,control
4674,control
2477,control
8889,treatment
4716,treatment
837,treatment
2254,treatment
7483,control
907,treatment
699,control
5727,treatment
3568,treatment
4815,control
3827,control
1056,treatment
6933,treatment
6234,control
6538,treatment
616,control
9633,control
6383,treatment
6714,treatment
464,control
9744,treatment
3035,control
8385,treatment
4529,control
5288,control
5175,treatment
4066,control
8602,treatment
4518,treatment
3053,treatment
5502,treatment
4086,treatment
5368,control
7884,control
4385,control
7474,treatment
7309,treatment
4585,treatment
9477,treatment
9464,treatment
8028,control
6786,control
5568,control
8968,treatment
5355,treatment
3090,control
5286,treatment
8844,control
8126,control
1010,treatment
2344,treatment
1728,treatment
4168,control
5924,control
4415,control
3091,treatment
6361,control
6871,control
2695,control
6898,treatment
4723,control
1291,control
9568,control
3179,control
751,control
1961,control
1483,treatment
1400,control
1426,control
90,treatment
9649,control
7102,treatment
982,control
1500,treatment
1260,treatment
9655,control
9991,control
6340,treatment
518,control
175,treatment
7849,control
1368,treatment
7443,treatment
8387,treatment
5505,treatment
6229,control
895,control
4019,control
3070,treatment
6548,control
2790,control
728,control
4204,control
4620,control
9794,treatment
7579,treatment
7145,treatment
5432,control
1715,treatment
2856,treatment
764,control
1613,control
5580,treatment
5300,control
4329,control
5728,treatment
3453,control
54,control
910,control
9213,treatment
2565,treatment
3655,control
3473,treatment
5177,treatment
4014,treatment
4061,control
1114,control
9500,treatment
4456,control
4551,control
6219,treatment
1663,control
8377,treatment
4820,treatment
8087,control
1635,treatment
9779,control
1001,treatment
8026,control
3716,control
307,treatment
6268,treatment
788,treatment
7056,control
4465,control
1618,treatment
4407,treatment
9236,treatment
909,treatment
3547,control
1009,control
7083,treatment
5083,control
6930,treatment
9309,treatment
4531,control
961,control
7101,control
5870,treatment
1022,treatment
9688,treatment
214,control
8243,control
4810,control
9108,treatment
2622,control
483,control
4148,treatment
576,control
4328,treatment
706,control
7151,treatment
9260,control
5649,control
5405,treatment
6711,treatment
1047,control
662,treatment
7481,treatment
5216,control
7189,treatment
3150,control
8350,treatment
226,control
4507,control
9285,treatment
6447,control
7419,treatment
1066,treatment
6009,treatment
2054,control
4940,treatment
3107,treatment
7631,control
9196,treatment
4452,treatment
3634,control
5955,treatment
9943,control
3337,treatment
1156,control
1645,treatment
2727,control
6444,control
6764,control
8861,treatment
5260,control
6774,treatment
1165,control
5209,treatment
8956,treatment
732,treatment
4318,treatment
5360,control
112,control
3669,treatment
9885,control
5463,control
209,control
8360,control
219,treatment
1289,treatment
9753,control
9298,treatment
4486,control
624,treatment
2544,treatment
7303,control
7465,treatment
5380,treatment
3364,treatment
8104,control
4899,control
8228,treatment
3825,treatment
826,treatment
3227,control
5308,treatment
6518,control
7070,treatment
7363,control
9959,treatment
7323,treatment
9720,treatment
8379,treatment
3254,treatment
1029,treatment
2108,treatment
7528,treatment
769,treatment
4626,control
1807,treatment
1941,treatment
5121,control
2031,treatment
2778,treatment
7489,control
8908,control
889,treatment
4442,control
9987,control
1274,treatment
5489,control
1643,control
7494,control
7938,treatment
1374,treatment
3594,control
9942,control
5339,treatment
407,treatment
5134,treatment
2266,control
3321,control
9136,control
9548,control
244,treatment
4875,treatment
3120,treatment
912,treatment
2420,control
4499,treatment
5486,control
5453,control
4077,control
855,control
2715,control
2327,treatment
5140,treatment
6818,control
6191,treatment
5628,treatment
8931,treatment
4942,treatment
9843,control
9814,treatment
6108,control
1386,treatment
2804,control
2531,treatment
9919,treatment
7584,treatment
